date,open,high,low,close,volume,change_pct
2025-01-02,55100.0,56200.0,55000.0,56100.0,356158,0.0
2025-01-03,56600.0,57000.0,56300.0,56700.0,387268,1.07
2025-01-06,56600.0,56800.0,55200.0,55600.0,602146,-1.94
2025-01-07,55600.0,56200.0,55500.0,55800.0,536013,0.36
2025-01-08,55400.0,56300.0,55300.0,56100.0,394975,0.54
2025-01-09,55800.0,56000.0,55300.0,55300.0,509760,-1.43
2025-01-10,55100.0,55600.0,54600.0,55600.0,702722,0.54
2025-01-13,55500.0,56000.0,55300.0,56000.0,404440,0.72
2025-01-14,56000.0,56100.0,55400.0,55500.0,237239,-0.89
2025-01-15,55600.0,55800.0,55000.0,55200.0,340658,-0.54
2025-01-16,55400.0,55600.0,55000.0,55300.0,326260,0.18
2025-01-17,55100.0,55700.0,55100.0,55700.0,386870,0.72
2025-01-20,55500.0,55600.0,55100.0,55400.0,282138,-0.54
2025-01-21,55000.0,55500.0,54600.0,54900.0,694682,-0.9
2025-01-22,55000.0,55200.0,54200.0,54500.0,712731,-0.73
2025-01-23,54600.0,55200.0,54500.0,54900.0,454669,0.73
2025-01-24,55100.0,55300.0,54300.0,54800.0,600388,-0.18
2025-01-31,55300.0,55700.0,55000.0,55400.0,917281,1.09
2025-02-03,54900.0,55900.0,54800.0,55900.0,1135847,0.9
2025-02-04,55700.0,56100.0,55400.0,55700.0,427000,-0.36
2025-02-05,55700.0,56100.0,55500.0,55800.0,385639,0.18
2025-02-06,55800.0,56100.0,55500.0,56100.0,341741,0.54
2025-02-07,55600.0,56000.0,55200.0,55200.0,425766,-1.6
2025-02-10,55400.0,55800.0,54900.0,55000.0,666106,-0.36
2025-02-11,55000.0,56000.0,55000.0,56000.0,502170,1.82
2025-02-12,56500.0,57200.0,55700.0,56000.0,400834,0.0
2025-02-13,55800.0,56300.0,55600.0,56300.0,521661,0.54
2025-02-14,56300.0,56500.0,55900.0,56300.0,355303,0.0
2025-02-17,56300.0,56700.0,55900.0,56400.0,369195,0.18
2025-02-18,56200.0,56300.0,55800.0,56000.0,375811,-0.71
2025-02-19,56100.0,57700.0,56000.0,57700.0,774212,3.04
2025-02-20,58000.0,59100.0,57700.0,59100.0,755501,2.43
2025-02-21,58800.0,58900.0,57800.0,58200.0,290145,-1.52
2025-02-24,58200.0,59000.0,58100.0,58700.0,378570,0.86
2025-02-25,58200.0,58200.0,57400.0,58200.0,423812,-0.85
2025-02-26,58400.0,58500.0,57700.0,58000.0,613359,-0.34
2025-02-27,57500.0,57500.0,55900.0,56300.0,949550,-2.93
2025-02-28,56300.0,57200.0,56000.0,56000.0,1084138,-0.53
2025-03-04,56700.0,57500.0,55800.0,56000.0,696920,0.0
2025-03-05,56400.0,56800.0,56000.0,56600.0,538931,1.07
2025-03-06,56300.0,56500.0,55500.0,56000.0,591270,-1.06
2025-03-07,55900.0,56000.0,55100.0,55400.0,550882,-1.07
2025-03-10,55000.0,56000.0,55000.0,55100.0,521608,-0.54
2025-03-11,55000.0,55600.0,55000.0,55600.0,450300,0.91
2025-03-12,55700.0,55900.0,55200.0,55900.0,372127,0.54
2025-03-13,55900.0,56000.0,55300.0,56000.0,595666,0.18
2025-03-14,56000.0,56000.0,55200.0,55300.0,510417,-1.25
2025-03-17,55600.0,55800.0,55400.0,55800.0,550101,0.9
2025-03-18,55700.0,56200.0,55500.0,55900.0,419298,0.18
2025-03-19,56000.0,56700.0,55800.0,56700.0,482354,1.43
