date,open,high,low,close,volume,change_pct
2025-01-02,82900.0,85400.0,82900.0,83400.0,622880,0.0
2025-01-03,85000.0,85700.0,83500.0,83800.0,846012,0.48
2025-01-06,85000.0,85800.0,84000.0,85500.0,638318,2.03
2025-01-07,85700.0,86700.0,85100.0,85600.0,656321,0.12
2025-01-08,84900.0,86200.0,84800.0,85600.0,732168,0.0
2025-01-09,85100.0,87300.0,85000.0,86700.0,906121,1.29
2025-01-10,86100.0,88400.0,86100.0,87800.0,1245510,1.27
2025-01-13,87800.0,90500.0,87600.0,89300.0,1407611,1.71
2025-01-14,89000.0,89800.0,87800.0,88800.0,918143,-0.56
2025-01-15,88700.0,90700.0,88700.0,89900.0,937623,1.24
2025-01-16,91500.0,91700.0,89800.0,90400.0,791640,0.56
2025-01-17,89500.0,90400.0,88400.0,88600.0,926849,-1.99
2025-01-20,88300.0,89500.0,87900.0,88800.0,380114,0.23
2025-01-21,89600.0,90100.0,88100.0,88900.0,478811,0.11
2025-01-22,89900.0,90000.0,88900.0,89400.0,764445,0.56
2025-01-23,89800.0,91000.0,88600.0,88600.0,771073,-0.89
2025-01-24,88600.0,89100.0,87800.0,88900.0,1024781,0.34
2025-01-31,89700.0,91900.0,89700.0,91700.0,2113398,3.15
2025-02-03,91600.0,92000.0,88100.0,88800.0,970789,-3.16
2025-02-04,90000.0,92000.0,89700.0,91300.0,1272273,2.82
2025-02-05,92300.0,93300.0,90400.0,91000.0,898948,-0.33
2025-02-06,87900.0,88000.0,83100.0,84900.0,3473264,-6.7
2025-02-07,85900.0,86300.0,84900.0,86000.0,2067392,1.3
2025-02-10,85900.0,86900.0,84900.0,84900.0,1409776,-1.28
2025-02-11,85100.0,85600.0,83800.0,84200.0,1278762,-0.82
2025-02-12,83200.0,85000.0,81900.0,82000.0,1948739,-2.61
2025-02-13,82000.0,82100.0,79100.0,79400.0,3880882,-3.17
2025-02-14,79100.0,80200.0,78700.0,79700.0,2655434,0.38
2025-02-17,79200.0,81100.0,77600.0,81000.0,2650482,1.63
2025-02-18,81000.0,82300.0,80600.0,82100.0,1279204,1.36
2025-02-19,82400.0,82600.0,81800.0,82200.0,1334119,0.12
2025-02-20,83000.0,83400.0,81300.0,82700.0,1698239,0.61
2025-02-21,82600.0,83500.0,82300.0,82700.0,1662225,0.0
2025-02-24,82700.0,83300.0,81700.0,82000.0,1001661,-0.85
2025-02-25,81400.0,82200.0,81300.0,81400.0,798719,-0.73
2025-02-26,82000.0,82100.0,80700.0,81500.0,1264119,0.12
2025-02-27,81500.0,81500.0,79900.0,80800.0,1512909,-0.86
2025-02-28,80100.0,80700.0,78300.0,78300.0,1490037,-3.09
2025-03-04,78500.0,79200.0,77100.0,77900.0,1154886,-0.51
2025-03-05,79200.0,79600.0,76400.0,76600.0,1562477,-1.67
