date,open,high,low,close,volume,change_pct
2025-01-02,38500.0,38600.0,37000.0,37450.0,1391090,0.0
2025-01-03,37450.0,39250.0,37450.0,38050.0,1971546,1.6
2025-01-06,37800.0,39250.0,37800.0,39150.0,1459048,2.89
2025-01-07,39400.0,39900.0,38550.0,38650.0,1438838,-1.28
2025-01-08,38300.0,39000.0,37200.0,37400.0,2887696,-3.23
2025-01-09,37450.0,37850.0,37200.0,37200.0,2219066,-0.53
2025-01-10,37200.0,37400.0,36400.0,36550.0,2240282,-1.75
2025-01-13,36200.0,36900.0,36200.0,36500.0,1170255,-0.14
2025-01-14,36650.0,36950.0,36350.0,36850.0,1087274,0.96
2025-01-15,36950.0,38150.0,36500.0,37000.0,2186274,0.41
2025-01-16,37400.0,37850.0,36700.0,36900.0,1271977,-0.27
2025-01-17,36950.0,36950.0,36400.0,36400.0,1135029,-1.36
2025-01-20,36400.0,36700.0,35800.0,36450.0,1356111,0.14
2025-01-21,36450.0,37000.0,36150.0,36450.0,1166887,0.0
2025-01-22,36800.0,37050.0,36150.0,36300.0,1154547,-0.41
2025-01-23,36450.0,36500.0,35750.0,35750.0,1220022,-1.52
2025-01-24,35900.0,36350.0,35700.0,35750.0,1076274,0.0
2025-01-31,36100.0,39000.0,36100.0,38350.0,6846406,7.27
2025-02-03,38350.0,42450.0,37750.0,41800.0,14720792,9.0
2025-02-04,42600.0,43150.0,40200.0,40900.0,12331280,-2.15
2025-02-05,41300.0,43550.0,41000.0,43200.0,10732661,5.62
2025-02-06,44000.0,45500.0,43500.0,45300.0,9121099,4.86
2025-02-07,45200.0,45250.0,43550.0,44500.0,5102434,-1.77
2025-02-10,44500.0,46000.0,42300.0,42500.0,6162748,-4.49
2025-02-11,43200.0,43450.0,42250.0,42850.0,3387582,0.82
2025-02-12,42750.0,42750.0,41400.0,42000.0,2941517,-1.98
2025-02-13,42350.0,43100.0,39700.0,40200.0,8123275,-4.29
2025-02-14,40550.0,40600.0,38400.0,38750.0,6091721,-3.61
2025-02-17,39100.0,39350.0,38800.0,39050.0,3131805,0.77
2025-02-18,38950.0,39350.0,38600.0,38950.0,2601628,-0.26
2025-02-19,39150.0,39650.0,38850.0,39300.0,2977884,0.9
2025-02-20,39600.0,40750.0,39550.0,39750.0,4599415,1.15
2025-02-21,40000.0,40250.0,39600.0,39900.0,2460853,0.38
2025-02-24,39650.0,40000.0,39200.0,39550.0,1834667,-0.88
2025-02-25,39200.0,39800.0,39100.0,39750.0,1505555,0.51
2025-02-26,40150.0,42400.0,40050.0,42100.0,7598359,5.91
2025-02-27,42900.0,44450.0,42800.0,44450.0,10185706,5.58
2025-02-28,43700.0,44700.0,42650.0,43150.0,6591090,-2.92
2025-03-04,43000.0,43450.0,41350.0,41900.0,3387888,-2.9
2025-03-05,42550.0,43500.0,42450.0,43100.0,2525062,2.86
2025-03-06,43500.0,45400.0,42550.0,45100.0,6180767,4.64
2025-03-07,44450.0,44825.0,43450.0,43750.0,3099161,-2.99
2025-03-10,43500.0,45950.0,43150.0,45400.0,4010592,3.77
2025-03-11,43900.0,44700.0,43550.0,44100.0,2486551,-2.86
2025-03-12,44250.0,44650.0,43450.0,44100.0,1976354,0.0
2025-03-13,44150.0,44750.0,42350.0,43150.0,3269454,-2.15
2025-03-14,43100.0,44050.0,43100.0,43450.0,1733603,0.7
2025-03-17,43500.0,43850.0,42300.0,43500.0,1693348,0.12
2025-03-18,43700.0,45050.0,43500.0,44000.0,2475410,1.15
2025-03-19,44000.0,44375.0,43100.0,43300.0,1642570,-1.59
2025-03-20,43500.0,43950.0,42650.0,42650.0,1761461,-1.5
2025-03-21,42650.0,43600.0,41900.0,43600.0,1900729,2.23
2025-03-24,43350.0,43500.0,41550.0,41900.0,1792693,-3.9
2025-03-25,42100.0,42400.0,41750.0,42200.0,827099,0.72
2025-03-26,42350.0,43050.0,41400.0,42900.0,1180900,1.66
2025-03-27,42300.0,42350.0,41200.0,41600.0,1360153,-3.03
2025-03-28,41600.0,41650.0,40500.0,41150.0,728635,-1.08
2025-03-31,40250.0,40700.0,39100.0,39100.0,1711143,-4.98
2025-04-01,39600.0,42450.0,39600.0,42200.0,2570592,7.93
2025-04-02,42300.0,42350.0,40700.0,40900.0,1549771,-3.08
2025-04-03,40000.0,42900.0,40000.0,42850.0,2508882,4.77
2025-04-04,42600.0,44750.0,40950.0,41850.0,4844975,-2.33
2025-04-07,40450.0,41750.0,39500.0,40650.0,2124791,-2.87
2025-04-08,41450.0,41500.0,39000.0,39050.0,2588453,-3.94
2025-04-09,38250.0,39650.0,36950.0,37150.0,1861781,-4.87
2025-04-10,39100.0,40000.0,38200.0,40000.0,1977485,7.67
2025-04-11,38750.0,39050.0,38200.0,39000.0,1364871,-2.5
2025-04-14,39150.0,39750.0,38950.0,39000.0,962491,0.0
2025-04-15,39150.0,39350.0,38750.0,38850.0,1049886,-0.38
2025-04-16,38900.0,38950.0,37600.0,37750.0,1386130,-2.83
2025-04-17,37800.0,38400.0,37800.0,38200.0,845939,1.19
2025-04-18,38300.0,39150.0,38100.0,39000.0,841087,2.09
2025-04-21,39250.0,39350.0,38750.0,38900.0,464726,-0.26
2025-04-22,38550.0,40150.0,38425.0,39200.0,1247375,0.77
2025-04-23,39650.0,39700.0,39150.0,39400.0,687852,0.51
2025-04-24,39650.0,39775.0,39250.0,39450.0,497262,0.13
2025-04-25,37850.0,38400.0,37150.0,37950.0,16562277,-3.8
2025-04-28,38500.0,38600.0,37950.0,38050.0,1779369,0.26
2025-04-29,38200.0,38700.0,38100.0,38450.0,1787062,1.05
2025-04-30,38300.0,38750.0,37750.0,38250.0,1857478,-0.52
2025-05-02,38150.0,38650.0,37950.0,38050.0,1350989,-0.52
2025-05-07,38350.0,38550.0,37800.0,38350.0,1891623,0.79
2025-05-08,38200.0,38250.0,36900.0,37000.0,4639380,-3.52
2025-05-09,37150.0,37200.0,36850.0,36950.0,1076784,-0.14
2025-05-12,37100.0,38100.0,37050.0,38100.0,1737798,3.11
2025-05-13,38150.0,38300.0,37400.0,37550.0,1270052,-1.44
2025-05-14,37700.0,38200.0,37300.0,37950.0,1623377,1.07
2025-05-15,37750.0,37850.0,37250.0,37650.0,1346122,-0.79
2025-05-16,37650.0,37800.0,37300.0,37400.0,912660,-0.66
2025-05-19,37150.0,37200.0,36350.0,36450.0,1389926,-2.54
2025-05-20,36600.0,36850.0,36300.0,36550.0,1680015,0.27
2025-05-21,36700.0,37950.0,36700.0,37450.0,1327371,2.46
2025-05-22,37250.0,37650.0,36950.0,37250.0,884129,-0.53
2025-05-23,37250.0,37650.0,37000.0,37400.0,1081143,0.4
2025-05-26,37400.0,39000.0,37100.0,39000.0,2676578,4.28
2025-05-27,38700.0,41000.0,38550.0,40950.0,3448700,5.0
2025-05-28,40950.0,42200.0,40250.0,41700.0,2787745,1.83
2025-05-29,41550.0,44250.0,41550.0,44000.0,4644875,5.52
2025-05-30,43650.0,43850.0,42650.0,42700.0,3539065,-2.95
2025-06-02,43200.0,43700.0,42400.0,43150.0,2075682,1.05
2025-06-04,44100.0,44450.0,41050.0,41600.0,3838475,-3.59
2025-06-05,42000.0,44900.0,41850.0,44300.0,5070135,6.49
2025-06-09,45950.0,51500.0,45700.0,51400.0,12784767,16.03
2025-06-10,53300.0,53300.0,49000.0,50000.0,8896042,-2.72
2025-06-11,49100.0,52000.0,49100.0,51400.0,5300436,2.8
2025-06-12,50800.0,51800.0,50300.0,50500.0,4071665,-1.75
2025-06-13,53700.0,53700.0,50700.0,51500.0,5408390,1.98
2025-06-16,51300.0,53300.0,50800.0,53200.0,4949701,3.3
2025-06-17,53800.0,54000.0,51200.0,51800.0,3981660,-2.63
2025-06-18,51600.0,55400.0,51600.0,55200.0,8380598,6.56
2025-06-19,57300.0,61800.0,56800.0,60400.0,14753547,9.42
2025-06-20,60100.0,67200.0,58600.0,66600.0,16754279,10.26
2025-06-23,67000.0,68900.0,65600.0,67600.0,12708128,1.5
2025-06-24,68100.0,71600.0,66000.0,70400.0,12083420,4.14
2025-06-25,69400.0,70700.0,67200.0,69400.0,6399440,-1.42
2025-06-26,67500.0,67600.0,61100.0,63100.0,12516562,-9.08
2025-06-27,63000.0,63500.0,58900.0,60900.0,7751588,-3.49
2025-06-30,61200.0,62000.0,59500.0,60000.0,4067265,-1.48
2025-07-01,59900.0,63400.0,59300.0,60100.0,4862065,0.17
2025-07-02,61000.0,61300.0,58100.0,58700.0,2974555,-2.33
2025-07-03,59200.0,61400.0,58800.0,59500.0,3330017,1.36
2025-07-04,60000.0,60400.0,58300.0,58400.0,2125150,-1.85
2025-07-07,57600.0,61000.0,57500.0,60100.0,3213170,2.91
2025-07-08,61400.0,61600.0,59900.0,60800.0,2354516,1.16
2025-07-09,60700.0,61000.0,59500.0,60500.0,2152533,-0.49
2025-07-10,61000.0,61800.0,59700.0,60800.0,3149990,0.5
2025-07-11,62000.0,62000.0,59900.0,60000.0,2465478,-1.32
2025-07-14,59500.0,59600.0,56500.0,58300.0,3469359,-2.83
2025-07-15,57400.0,58000.0,56300.0,57200.0,2979693,-1.89
2025-07-16,56900.0,57600.0,56000.0,56100.0,1844953,-1.92
2025-07-17,57500.0,59100.0,57000.0,57500.0,3318001,2.5
2025-07-18,57700.0,57800.0,56100.0,56900.0,1334076,-1.04
2025-07-21,56700.0,57400.0,56400.0,56900.0,1111739,0.0
2025-07-22,57100.0,57100.0,56100.0,56500.0,1274106,-0.7
2025-07-23,56700.0,56900.0,54100.0,55000.0,1861734,-2.65
2025-07-24,55500.0,55900.0,53500.0,54100.0,1968455,-1.64
2025-07-25,54000.0,55900.0,53700.0,55800.0,1822409,3.14
2025-07-28,56800.0,57200.0,55400.0,55900.0,1437014,0.18
2025-07-29,56300.0,56600.0,55300.0,56000.0,1272773,0.18
2025-07-30,56300.0,58800.0,56000.0,56300.0,3314430,0.54
2025-07-31,56500.0,58300.0,55800.0,58000.0,2062382,3.02
2025-08-01,57200.0,57500.0,55300.0,55500.0,2256317,-4.31
2025-08-04,55000.0,59400.0,54700.0,55400.0,8113567,-0.18
2025-08-05,55800.0,55900.0,53300.0,54700.0,4343070,-1.26
2025-08-06,55400.0,57200.0,54100.0,56800.0,3966137,3.84
2025-08-07,57900.0,63600.0,57400.0,63600.0,11910000,11.97
2025-08-08,62500.0,65300.0,61700.0,63800.0,7219790,0.31
2025-08-11,64200.0,65700.0,63500.0,64200.0,4002999,0.63
2025-08-12,63800.0,64700.0,62700.0,63700.0,2620057,-0.78
2025-08-13,64600.0,64800.0,62100.0,63500.0,2791808,-0.31
2025-08-14,63000.0,65200.0,63000.0,64400.0,3339635,1.42
2025-08-18,64800.0,65500.0,64000.0,65000.0,1926649,0.93
2025-08-19,65500.0,66600.0,63700.0,65200.0,2712501,0.31
2025-08-20,63800.0,65700.0,62300.0,65300.0,3436218,0.15
2025-08-21,65900.0,67800.0,62900.0,64000.0,4221004,-1.99
2025-08-22,63400.0,64700.0,63100.0,63600.0,2234317,-0.62
2025-08-25,64100.0,64900.0,63500.0,64700.0,1853582,1.73
2025-08-26,64100.0,65800.0,64000.0,65000.0,2393834,0.46
2025-08-27,65500.0,65500.0,63600.0,64100.0,1845944,-1.38
2025-08-28,63800.0,64300.0,62800.0,63500.0,1229932,-0.94
2025-08-29,64000.0,64300.0,61900.0,62500.0,1704037,-1.57
2025-09-01,60600.0,62100.0,59500.0,61200.0,2491823,-2.08
2025-09-02,61700.0,62200.0,58200.0,59300.0,3661180,-3.1
